model,quant,class,measurement,value,std_or_unit,notes
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,decode_d2K_t/s_5rep_mean,5.05,std=0.025 cv=0.50%,
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,decode_d8K_t/s_5rep_mean,4.96,std=0.012 cv=0.24%,
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,baseline_decode32_5rep_mean,6.652,std=0.010,llama-server
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,interfered_rep1_t/s,6.137,,
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,interfered_reps2-10_mean_t/s,6.582,std=0.034,
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,interfered_all-10_mean_t/s,6.538,,
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,first_decode_TTFT_amplification,1.08x,,6.652/6.137; least interference-sensitive class
Qwen3.6-27B,Q8_0,dense/hybrid SSM-Dense,steady_state_decode_stall_pct,-1.1,within noise,
PROXY_class_summary,sync-bound_MoE,Coder-30B Q4_K_M,first_decode_TTFT_amp_max,9.6x,,prefill batches consume 14.9s each at 137 t/s
PROXY_class_summary,BW-bound_MoE,Qwen3.6-35B Q8_0,first_decode_TTFT_amp_max,1.15x,,prefill batches faster at 250 t/s
PROXY_class_summary,dense_hybrid,Qwen3.6-27B Q8,first_decode_TTFT_amp_max,1.08x,,uniform compute aligns better with continuous batching
NOT_RUN,Qwen3-Next-80B-A3B,Q4_K_M,full_4regime_4metric,,,Phase 2.2 deferred 5-model coverage
NOT_RUN,Qwen3-Coder-REAP-246B-A35B,Q4_K_M,full_4regime_4metric,,,Phase 2.2 deferred 5-model coverage
NOT_RUN,gemma-4-26B-A4B,Q4_K_M,full_4regime_4metric,,,Phase 2.2 deferred 5-model coverage
NOT_RUN,Qwen3.6-27B,Q8_0,32K_pp_tg32_throughput,,,~10 min/rep would be 30 min for 3-rep run; deferred
